macc_mode,cap_scenario,msr_level,regime,year,kau_realized_krw
step,base,L1,frictionless,2026,34292
step,base,L1,frictionless,2027,36231
step,base,L1,frictionless,2028,38280
step,base,L1,frictionless,2029,40444
step,base,L1,frictionless,2030,42731
step,base,L1,frictionless,2031,45147
step,base,L1,frictionless,2032,46425
step,base,L1,frictionless,2033,49050
step,base,L1,frictionless,2034,51169
step,base,L1,frictionless,2035,54062
step,base,L1,frictionless,2036,57119
step,base,L1,frictionless,2037,60349
step,base,L1,frictionless,2038,63761
step,base,L1,frictionless,2039,67366
step,base,L1,frictionless,2040,67461
step,base,L1,noresponse,2026,33188
step,base,L1,noresponse,2027,35065
step,base,L1,noresponse,2028,37047
step,base,L1,noresponse,2029,39142
step,base,L1,noresponse,2030,41355
step,base,L1,noresponse,2031,43693
step,base,L1,noresponse,2032,46164
step,base,L1,noresponse,2033,48774
step,base,L1,noresponse,2034,51532
step,base,L1,noresponse,2035,54445
step,base,L1,noresponse,2036,57524
step,base,L1,noresponse,2037,60776
step,base,L1,noresponse,2038,64212
step,base,L1,noresponse,2039,67843
step,base,L1,noresponse,2040,67461
step,base,L1,perverse,2026,32912
step,base,L1,perverse,2027,34774
step,base,L1,perverse,2028,36739
step,base,L1,perverse,2029,38816
step,base,L1,perverse,2030,41011
step,base,L1,perverse,2031,43330
step,base,L1,perverse,2032,46099
step,base,L1,perverse,2033,48705
step,base,L1,perverse,2034,51623
step,base,L1,perverse,2035,54541
step,base,L1,perverse,2036,57625
step,base,L1,perverse,2037,60883
step,base,L1,perverse,2038,64325
step,base,L1,perverse,2039,67962
step,base,L1,perverse,2040,67461
step,base,L1,perverse_low,2026,32636
step,base,L1,perverse_low,2027,34482
step,base,L1,perverse_low,2028,36430
step,base,L1,perverse_low,2029,38491
step,base,L1,perverse_low,2030,40667
step,base,L1,perverse_low,2031,42966
step,base,L1,perverse_low,2032,46034
step,base,L1,perverse_low,2033,48636
step,base,L1,perverse_low,2034,51714
step,base,L1,perverse_low,2035,54636
step,base,L1,perverse_low,2036,57726
step,base,L1,perverse_low,2037,60990
step,base,L1,perverse_low,2038,64438
step,base,L1,perverse_low,2039,68082
step,base,L1,perverse_low,2040,67461
step,base,L1,reform,2026,32912
step,base,L1,reform,2027,34905
step,base,L1,reform,2028,37016
step,base,L1,reform,2029,39256
step,base,L1,reform,2030,41630
step,base,L1,reform,2031,44147
step,base,L1,reform,2032,46275
step,base,L1,reform,2033,48922
step,base,L1,reform,2034,51296
step,base,L1,reform,2035,54153
step,base,L1,reform,2036,57170
step,base,L1,reform,2037,60402
step,base,L1,reform,2038,63817
step,base,L1,reform,2039,67426
step,base,L1,reform,2040,67461
step,base,L2,frictionless,2026,37100
step,base,L2,frictionless,2027,39198
step,base,L2,frictionless,2028,41414
step,base,L2,frictionless,2029,43756
step,base,L2,frictionless,2030,46230
step,base,L2,frictionless,2031,48844
step,base,L2,frictionless,2032,46425
step,base,L2,frictionless,2033,49049
step,base,L2,frictionless,2034,51049
step,base,L2,frictionless,2035,53935
step,base,L2,frictionless,2036,54561
step,base,L2,frictionless,2037,57646
step,base,L2,frictionless,2038,60905
step,base,L2,frictionless,2039,64349
step,base,L2,frictionless,2040,67461
step,base,L2,noresponse,2026,33188
step,base,L2,noresponse,2027,35065
step,base,L2,noresponse,2028,37047
step,base,L2,noresponse,2029,39142
step,base,L2,noresponse,2030,41355
step,base,L2,noresponse,2031,43693
step,base,L2,noresponse,2032,46164
step,base,L2,noresponse,2033,48774
step,base,L2,noresponse,2034,51532
step,base,L2,noresponse,2035,54445
step,base,L2,noresponse,2036,57524
step,base,L2,noresponse,2037,60776
step,base,L2,noresponse,2038,64212
step,base,L2,noresponse,2039,67843
step,base,L2,noresponse,2040,67461
step,base,L2,perverse,2026,32210
step,base,L2,perverse,2027,34032
step,base,L2,perverse,2028,35955
step,base,L2,perverse,2029,37988
step,base,L2,perverse,2030,40136
step,base,L2,perverse,2031,42405
step,base,L2,perverse,2032,46099
step,base,L2,perverse,2033,48705
step,base,L2,perverse,2034,51653
