price_krw,steel,petrochem,power,cement,refinery,total_domestic_Mt
2000,0,0,0,0,0,0
4000,0,0,0,0,0,0
6000,0,0,0,0.57,0,0.57
8000,4.15,0,6.54,2.47,2.21,15.38
10000,9.61,0,17.48,3.95,3.93,34.96
12000,14.06,0.86,26.41,5.15,5.33,51.82
14000,17.83,2.12,33.96,6.17,6.52,66.6
16000,21.1,3.22,40.51,7.05,7.54,79.41
18000,23.98,4.18,46.28,7.83,8.45,90.71
20000,26.55,5.04,51.44,8.52,9.26,100.82
22000,28.88,5.82,56.11,9.15,9.99,109.96
24000,31.01,6.53,60.38,9.72,10.66,118.3
26000,32.96,7.19,64.3,10.25,11.28,125.98
28000,34.78,7.79,67.93,10.74,11.85,133.09
30000,36.46,8.36,71.31,11.2,12.38,139.71
32000,38.04,8.89,74.47,11.62,12.88,145.9
34000,39.52,9.38,77.44,12.02,13.34,151.71
36000,40.92,9.85,80.24,12.4,13.78,157.2
38000,42.24,10.29,82.89,12.76,14.2,162.38
40000,43.49,10.71,85.41,13.1,14.59,167.3
42000,44.69,11.11,87.8,13.42,14.97,171.98
44000,45.82,11.49,90.08,13.72,15.33,176.44
46000,46.91,11.86,92.25,14.02,15.67,180.71
48000,47.95,12.2,94.34,14.3,16.0,184.79
50000,48.95,12.54,96.34,14.57,16.0,188.4
52000,49.91,12.86,98.26,14.83,16.0,191.86
54000,50.83,13.17,100.11,14.85,16.0,194.96
56000,51.72,13.47,101.89,14.85,16.0,197.93
58000,52.58,13.75,103.61,14.85,16.0,200.79
60000,53.41,14.03,105.27,14.85,16.0,203.56
62000,54.21,14.3,106.88,14.85,16.0,206.24
64000,54.98,14.56,107.8,14.85,16.0,208.19
66000,55.0,14.81,107.8,14.85,16.0,208.46
68000,55.0,15.05,107.8,14.85,16.0,208.7
70000,55.0,15.29,107.8,14.85,16.0,208.94
72000,55.0,15.52,107.8,14.85,16.0,209.17
74000,55.0,15.75,107.8,14.85,16.0,209.4
76000,55.0,15.75,107.8,14.85,16.0,209.4
78000,55.0,15.75,107.8,14.85,16.0,209.4
80000,55.0,15.75,107.8,14.85,16.0,209.4
82000,55.0,15.75,107.8,14.85,16.0,209.4
84000,55.0,15.75,107.8,14.85,16.0,209.4
86000,55.0,15.75,107.8,14.85,16.0,209.4
88000,55.0,15.75,107.8,14.85,16.0,209.4
90000,55.0,15.75,107.8,14.85,16.0,209.4
92000,55.0,15.75,107.8,14.85,16.0,209.4
94000,55.0,15.75,107.8,14.85,16.0,209.4
96000,55.0,15.75,107.8,14.85,16.0,209.4
98000,55.0,15.75,107.8,14.85,16.0,209.4
100000,55.0,15.75,107.8,14.85,16.0,209.4
102000,55.0,15.75,107.8,14.85,16.0,209.4
104000,55.0,15.75,107.8,14.85,16.0,209.4
106000,55.0,15.75,107.8,14.85,16.0,209.4
108000,55.0,15.75,107.8,14.85,16.0,209.4
110000,55.0,15.75,107.8,14.85,16.0,209.4
112000,55.0,15.75,107.8,14.85,16.0,209.4
114000,55.0,15.75,107.8,14.85,16.0,209.4
116000,55.0,15.75,107.8,14.85,16.0,209.4
118000,55.0,15.75,107.8,14.85,16.0,209.4
120000,55.0,15.75,107.8,14.85,16.0,209.4
122000,55.0,15.75,107.8,14.85,16.0,209.4
124000,55.0,15.75,107.8,14.85,16.0,209.4
126000,55.0,15.75,107.8,14.85,16.0,209.4
128000,55.0,15.75,107.8,14.85,16.0,209.4
130000,55.0,15.75,107.8,14.85,16.0,209.4
132000,55.0,15.75,107.8,14.85,16.0,209.4
134000,55.0,15.75,107.8,14.85,16.0,209.4
136000,55.0,15.75,107.8,14.85,16.0,209.4
138000,55.0,15.75,107.8,14.85,16.0,209.4
140000,55.0,15.75,107.8,14.85,16.0,209.4
142000,55.0,15.75,107.8,14.85,16.0,209.4
144000,55.0,15.75,107.8,14.85,16.0,209.4
146000,55.0,15.75,107.8,14.85,16.0,209.4
148000,55.0,15.75,107.8,14.85,16.0,209.4
150000,55.0,15.75,107.8,14.85,16.0,209.4
152000,55.0,15.75,107.8,14.85,16.0,209.4
154000,55.0,15.75,107.8,14.85,16.0,209.4
156000,55.0,15.75,107.8,14.85,16.0,209.4
158000,55.0,15.75,107.8,14.85,16.0,209.4
160000,55.0,15.75,107.8,14.85,16.0,209.4
162000,55.0,15.75,107.8,14.85,16.0,209.4
164000,55.0,15.75,107.8,14.85,16.0,209.4
166000,55.0,15.75,107.8,14.85,16.0,209.4
168000,55.0,15.75,107.8,14.85,16.0,209.4
170000,55.0,15.75,107.8,14.85,16.0,209.4
172000,55.0,15.75,107.8,14.85,16.0,209.4
174000,55.0,15.75,107.8,14.85,16.0,209.4
176000,55.0,15.75,107.8,14.85,16.0,209.4
178000,55.0,15.75,107.8,14.85,16.0,209.4
180000,55.0,15.75,107.8,14.85,16.0,209.4
182000,55.0,15.75,107.8,14.85,16.0,209.4
184000,55.0,15.75,107.8,14.85,16.0,209.4
186000,55.0,15.75,107.8,14.85,16.0,209.4
188000,55.0,15.75,107.8,14.85,16.0,209.4
190000,55.0,15.75,107.8,14.85,16.0,209.4
192000,55.0,15.75,107.8,14.85,16.0,209.4
194000,55.0,15.75,107.8,14.85,16.0,209.4
196000,55.0,15.75,107.8,14.85,16.0,209.4
198000,55.0,15.75,107.8,14.85,16.0,209.4
200000,55.0,15.75,107.8,14.85,16.0,209.4
