macc_mode,anchor,auction_lever,floor_id,auction_ratio,kau_2040_krw,defended_all_years,cum_abate_Mt,cum_auction_rev_trillion,cum_cbam_cost_trillion
step,hotelling,A_cur,M0,0.15,67461,True,1051.0,44.5,47.5
step,hotelling,A_cur,M_mid,0.15,67461,True,1051.0,44.5,47.5
step,hotelling,A_cur,M_high,0.15,90000,True,1251.0,53.0,45.3
step,hotelling,A_cur,M_max,0.15,141484,False,1676.0,82.9,37.7
step,hotelling,A30,M0,0.3,67461,True,1051.0,89.1,47.5
step,hotelling,A30,M_mid,0.3,67461,True,1051.0,89.1,47.5
step,hotelling,A30,M_high,0.3,90000,True,1251.0,105.9,45.3
step,hotelling,A30,M_max,0.3,150000,True,1690.0,171.5,36.9
step,hotelling,A50,M0,0.5,67461,True,1051.0,148.4,47.5
step,hotelling,A50,M_mid,0.5,67461,True,1051.0,148.4,47.5
step,hotelling,A50,M_high,0.5,90000,True,1251.0,176.5,45.3
step,hotelling,A50,M_max,0.5,150000,True,1690.0,285.8,36.9
step,hotelling,A70,M0,0.7,67461,True,1051.0,207.8,47.5
step,hotelling,A70,M_mid,0.7,67461,True,1051.0,207.8,47.5
step,hotelling,A70,M_high,0.7,90000,True,1251.0,247.1,45.3
step,hotelling,A70,M_max,0.7,150000,True,1690.0,400.2,36.9
step,static,A_cur,M0,0.15,67461,True,1143.0,45.7,47.1
step,static,A_cur,M_mid,0.15,67461,True,1163.0,46.5,46.9
step,static,A_cur,M_high,0.15,90000,True,1282.0,53.1,45.2
step,static,A_cur,M_max,0.15,141484,False,1682.0,85.3,37.0
step,static,A30,M0,0.3,67461,True,1143.0,91.4,47.1
step,static,A30,M_mid,0.3,67461,True,1163.0,93.0,46.9
step,static,A30,M_high,0.3,90000,True,1282.0,106.3,45.2
step,static,A30,M_max,0.3,150000,True,1690.0,171.5,36.9
step,static,A50,M0,0.5,67461,True,1143.0,152.4,47.1
step,static,A50,M_mid,0.5,67461,True,1163.0,155.1,46.9
step,static,A50,M_high,0.5,90000,True,1282.0,177.1,45.2
step,static,A50,M_max,0.5,150000,True,1690.0,285.8,36.9
step,static,A70,M0,0.7,67461,True,1143.0,213.4,47.1
step,static,A70,M_mid,0.7,67461,True,1163.0,217.1,46.9
step,static,A70,M_high,0.7,90000,True,1282.0,248.0,45.2
step,static,A70,M_max,0.7,150000,True,1690.0,400.2,36.9
exponential,hotelling,A_cur,M0,0.15,14715,True,1051.0,11.5,55.8
exponential,hotelling,A_cur,M_mid,0.15,25655,False,1945.0,21.5,53.4
exponential,hotelling,A_cur,M_high,0.15,25655,False,1989.0,22.1,53.2
exponential,hotelling,A_cur,M_max,0.15,25655,False,1989.0,22.1,53.2
exponential,hotelling,A30,M0,0.3,14715,True,1051.0,23.0,55.8
exponential,hotelling,A30,M_mid,0.3,50000,True,2335.0,58.8,51.2
exponential,hotelling,A30,M_high,0.3,55259,False,2805.0,81.8,48.5
exponential,hotelling,A30,M_max,0.3,55259,False,2918.0,87.9,47.8
exponential,hotelling,A50,M0,0.5,14715,True,1051.0,38.4,55.8
exponential,hotelling,A50,M_mid,0.5,50000,True,2335.0,98.1,51.2
exponential,hotelling,A50,M_high,0.5,90000,True,2852.0,173.2,45.5
exponential,hotelling,A50,M_max,0.5,150000,True,3068.0,285.8,36.9
exponential,hotelling,A70,M0,0.7,14715,True,1051.0,53.7,55.8
exponential,hotelling,A70,M_mid,0.7,50000,True,2335.0,137.3,51.2
exponential,hotelling,A70,M_high,0.7,90000,True,2852.0,242.4,45.5
exponential,hotelling,A70,M_max,0.7,150000,True,3068.0,400.2,36.9
exponential,static,A_cur,M0,0.15,14715,True,1143.0,12.3,55.6
exponential,static,A_cur,M_mid,0.15,25655,False,2003.0,22.4,53.1
exponential,static,A_cur,M_high,0.15,25655,False,2081.0,23.6,52.9
exponential,static,A_cur,M_max,0.15,25655,False,2081.0,23.6,52.9
exponential,static,A30,M0,0.3,14715,True,1143.0,24.6,55.6
exponential,static,A30,M_mid,0.3,50000,True,2335.0,58.8,51.2
exponential,static,A30,M_high,0.3,55259,False,2837.0,84.2,48.2
exponential,static,A30,M_max,0.3,55259,False,3010.0,94.5,47.1
exponential,static,A50,M0,0.5,14715,True,1143.0,40.9,55.6
exponential,static,A50,M_mid,0.5,50000,True,2335.0,98.1,51.2
exponential,static,A50,M_high,0.5,90000,True,2852.0,173.2,45.5
exponential,static,A50,M_max,0.5,150000,True,3068.0,285.8,36.9
exponential,static,A70,M0,0.7,14715,True,1143.0,57.3,55.6
exponential,static,A70,M_mid,0.7,50000,True,2335.0,137.3,51.2
exponential,static,A70,M_high,0.7,90000,True,2852.0,242.4,45.5
exponential,static,A70,M_max,0.7,150000,True,3068.0,400.2,36.9
