macc_mode,anchor,auction_lever,floor_id,auction_ratio,year,kau_krw,floor_krw,defended,abate_Mt,withhold_capacity_Mt,cbam_cost_trillion
step,hotelling,A_cur,M0,0.15,2026,32275,0,True,43.4,76.0,1.387
step,hotelling,A_cur,M0,0.15,2027,34100,0,True,47.1,73.3,1.496
step,hotelling,A_cur,M0,0.15,2028,36028,0,True,54.8,70.7,1.627
step,hotelling,A_cur,M0,0.15,2029,38065,0,True,59.8,68.0,1.848
step,hotelling,A_cur,M0,0.15,2030,40217,0,True,61.1,65.2,2.113
step,hotelling,A_cur,M0,0.15,2031,42491,0,True,61.1,63.9,2.445
step,hotelling,A_cur,M0,0.15,2032,44894,0,True,61.1,62.7,2.775
step,hotelling,A_cur,M0,0.15,2033,47432,0,True,61.1,61.4,3.103
step,hotelling,A_cur,M0,0.15,2034,50114,0,True,65.7,60.2,3.429
step,hotelling,A_cur,M0,0.15,2035,52947,0,True,66.9,59.0,3.753
step,hotelling,A_cur,M0,0.15,2036,55941,0,True,90.4,57.8,4.074
step,hotelling,A_cur,M0,0.15,2037,59104,0,True,90.4,56.6,4.392
step,hotelling,A_cur,M0,0.15,2038,62446,0,True,92.7,55.5,4.708
step,hotelling,A_cur,M0,0.15,2039,65976,0,True,92.7,54.4,5.021
step,hotelling,A_cur,M0,0.15,2040,67461,0,True,102.7,53.3,5.365
step,hotelling,A_cur,M_mid,0.15,2026,32275,15000,True,43.4,76.0,1.387
step,hotelling,A_cur,M_mid,0.15,2027,34100,17500,True,47.1,73.3,1.496
step,hotelling,A_cur,M_mid,0.15,2028,36028,20000,True,54.8,70.7,1.627
step,hotelling,A_cur,M_mid,0.15,2029,38065,22500,True,59.8,68.0,1.848
step,hotelling,A_cur,M_mid,0.15,2030,40217,25000,True,61.1,65.2,2.113
step,hotelling,A_cur,M_mid,0.15,2031,42491,27500,True,61.1,63.9,2.445
step,hotelling,A_cur,M_mid,0.15,2032,44894,30000,True,61.1,62.7,2.775
step,hotelling,A_cur,M_mid,0.15,2033,47432,32500,True,61.1,61.4,3.103
step,hotelling,A_cur,M_mid,0.15,2034,50114,35000,True,65.7,60.2,3.429
step,hotelling,A_cur,M_mid,0.15,2035,52947,37500,True,66.9,59.0,3.753
