year,kau,eua,ccr_target_kau,price_gap_pct,ccr_supply_change_Mt,tnac_Mt,tnac_supply_change_Mt
2026,33188,123000.0,61500,-46.0,76.0,89.1,-14.2
2027,35065,132000.0,66000,-46.9,73.3,107.5,-18.6
2028,37047,142500.0,71250,-48.0,70.7,113.7,-20.1
2029,39142,159000.0,79500,-50.8,68.0,114.0,-20.2
2030,41355,178500.0,89250,-53.7,65.2,101.8,-17.2
2031,43693,202500.0,101250,-56.8,63.9,86.4,-13.5
2032,46164,226500.0,113250,-59.2,62.7,67.9,-9.1
2033,48774,250500.0,125250,-61.1,61.4,46.2,-3.9
2034,51532,274500.0,137250,-62.5,60.2,27.3,-0.0
2035,54445,298500.0,149250,-63.5,59.0,17.1,-0.0
2036,57524,322500.0,161250,-64.3,57.8,15.9,-0.0
2037,60776,346500.0,173250,-64.9,56.6,11.8,-0.0
2038,64212,370500.0,185250,-65.3,55.5,7.2,-0.0
2039,67843,394500.0,197250,-65.6,54.4,0.0,-0.0
2040,67461,418500.0,209250,-67.8,53.3,0.0,-0.0
